TC17001298_SGK494	PSR17017187	ENSE00002695789	ENSG00000167524	SGK494
TC17001298_SGK494	PSR17017203	ENSE00003653862|ENSE00002172518|ENSE00001897184|Intron|ENSE00003609299	ENSG00000167524|ENSG00000167524|ENSG00000167524|ENSG00000167524|ENSG00000167524	SGK494|SGK494|SGK494|SGK494|SGK494
TC17001298_SGK494	PSR17017204	ENSE00002148700|*ENSE00002178980	ENSG00000167524|*ENSG00000167524	SGK494|*SGK494
TC17001298_SGK494	PSR17017206	ENSE00003490150|ENSE00003477702|ENSE00003641933|ENSE00002178980|ENSE00003653830|ENSE00002148700	ENSG00000167524|ENSG00000167524|ENSG00000167524|ENSG00000167524|ENSG00000167524|ENSG00000167524	SGK494|SGK494|SGK494|SGK494|SGK494|SGK494
TC17001298_SGK494	PSR17017208	ENSE00003490150|ENSE00003477702|ENSE00003641933|ENSE00002178980|ENSE00003653830|ENSE00002148700	ENSG00000167524|ENSG00000167524|ENSG00000167524|ENSG00000167524|ENSG00000167524|ENSG00000167524	SGK494|SGK494|SGK494|SGK494|SGK494|SGK494
TC17001298_SGK494	PSR17017209	ENSE00003499062|ENSE00003610493	ENSG00000167524|ENSG00000167524	SGK494|SGK494
TC17001298_SGK494	PSR17017210	ENSE00003499062|ENSE00003610493	ENSG00000167524|ENSG00000167524	SGK494|SGK494
TC17001298_SGK494	PSR17017211	ENSE00003606716|ENSE00003466256|ENSE00002692316|*ENSE00003572654|*ENSE00002687657	ENSG00000167524|ENSG00000167524|ENSG00000167524|*ENSG00000167524|*ENSG00000167524	SGK494|SGK494|SGK494|*SGK494|*SGK494
TC17001298_SGK494	PSR17017212	ENSE00002692316|Intron	ENSG00000167524|ENSG00000167524	SGK494|SGK494
TC17001298_SGK494	PSR17017213	ENSE00003502796|ENSE00003526556|ENSE00003601893|ENSE00003584268|ENSE00002712171|ENSE00002199139|ENSE00002789388	ENSG00000167524|ENSG00000167524|ENSG00000167524|ENSG00000167524|ENSG00000167524|ENSG00000167524|ENSG00000167524	SGK494|SGK494|SGK494|SGK494|SGK494|SGK494|SGK494
TC17001298_SPAG5_RP11-192H23.4	PSR17017149	ENSE00002698502|ENSE00002698502|ENSE00003723330|ENSE00003723330|ENSE00002697057|ENSE00002697057	ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382	SPAG5|RP11-192H23.4|SPAG5|RP11-192H23.4|SPAG5|RP11-192H23.4
TC17001298_SPAG5_RP11-192H23.4	PSR17017150	ENSE00002689447|ENSE00002689447|ENSE00002710812|ENSE00002710812|ENSE00003680976|ENSE00003680976|ENSE00003704997|ENSE00003704997	ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382	SPAG5|RP11-192H23.4|SPAG5|RP11-192H23.4|SPAG5|RP11-192H23.4|SPAG5|RP11-192H23.4
TC17001298_SPAG5_RP11-192H23.4	PSR17017151	ENSE00003709063|ENSE00003709063|ENSE00002689447|ENSE00002689447|ENSE00002710812|ENSE00002710812|ENSE00002694151|ENSE00002694151	ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382	SPAG5|RP11-192H23.4|SPAG5|RP11-192H23.4|SPAG5|RP11-192H23.4|SPAG5|RP11-192H23.4
TC17001298_SPAG5_RP11-192H23.4	PSR17017152	ENSE00002699851|ENSE00002699851|ENSE00003705480|ENSE00003705480|ENSE00002710812|ENSE00002710812|ENSE00002694151|ENSE00002694151|*ENSE00002716855|*ENSE00002716855	ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382|*ENSG00000076382|*ENSG00000076382	SPAG5|RP11-192H23.4|SPAG5|RP11-192H23.4|SPAG5|RP11-192H23.4|SPAG5|RP11-192H23.4|*SPAG5|*RP11-192H23.4
TC17001298_SPAG5_RP11-192H23.4	PSR17017153	ENSE00002710812|ENSE00002710812|ENSE00003711256|ENSE00003711256|ENSE00003520126|ENSE00003520126	ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382	SPAG5|RP11-192H23.4|SPAG5|RP11-192H23.4|SPAG5|RP11-192H23.4
TC17001298_SPAG5_RP11-192H23.4	PSR17017154	ENSE00002717447|ENSE00002717447|ENSE00003709090|ENSE00003709090|ENSE00003514950|ENSE00003514950|*ENSE00002700416|*ENSE00002700416	ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382|*ENSG00000076382|*ENSG00000076382	SPAG5|RP11-192H23.4|SPAG5|RP11-192H23.4|SPAG5|RP11-192H23.4|*SPAG5|*RP11-192H23.4
TC17001298_SPAG5_RP11-192H23.4	PSR17017155	ENSE00003662553|ENSE00003662553|ENSE00002717447|ENSE00002717447|ENSE00003660503|ENSE00003660503|*ENSE00002700154|*ENSE00002700154|*ENSE00002726261|*ENSE00002726261	ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382|*ENSG00000076382|*ENSG00000076382|*ENSG00000076382|*ENSG00000076382	SPAG5|RP11-192H23.4|SPAG5|RP11-192H23.4|SPAG5|RP11-192H23.4|*SPAG5|*RP11-192H23.4|*SPAG5|*RP11-192H23.4
TC17001298_SPAG5_RP11-192H23.4	PSR17017158	ENSE00003472506|ENSE00003472506|ENSE00002691111|ENSE00002691111|ENSE00002686710|ENSE00002686710|ENSE00002690898|ENSE00002690898|ENSE00003552679|ENSE00003552679	ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382	SPAG5|RP11-192H23.4|SPAG5|RP11-192H23.4|SPAG5|RP11-192H23.4|SPAG5|RP11-192H23.4|SPAG5|RP11-192H23.4
TC17001298_SPAG5_RP11-192H23.4	PSR17017160	ENSE00002691111|ENSE00002691111|ENSE00003621103|ENSE00003621103|ENSE00002690898|ENSE00002690898|ENSE00002695370|ENSE00002695370|ENSE00003515824|ENSE00003515824|ENSE00002701316|ENSE00002701316	ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382	SPAG5|RP11-192H23.4|SPAG5|RP11-192H23.4|SPAG5|RP11-192H23.4|SPAG5|RP11-192H23.4|SPAG5|RP11-192H23.4|SPAG5|RP11-192H23.4
TC17001298_SPAG5_RP11-192H23.4	PSR17017161	ENSE00003690055|ENSE00003690055|ENSE00003594788|ENSE00003594788	ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382	SPAG5|RP11-192H23.4|SPAG5|RP11-192H23.4
TC17001298_SPAG5_RP11-192H23.4	PSR17017162	ENSE00003547419|ENSE00003547419|ENSE00003647375|ENSE00003647375	ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382	SPAG5|RP11-192H23.4|SPAG5|RP11-192H23.4
TC17001298_SPAG5_RP11-192H23.4	PSR17017163	ENSE00003547419|ENSE00003547419|ENSE00003647375|ENSE00003647375	ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382	SPAG5|RP11-192H23.4|SPAG5|RP11-192H23.4
TC17001298_SPAG5_RP11-192H23.4	PSR17017164	ENSE00003498915|ENSE00003498915|ENSE00003528277|ENSE00003528277	ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382	SPAG5|RP11-192H23.4|SPAG5|RP11-192H23.4
TC17001298_SPAG5_RP11-192H23.4	PSR17017165	ENSE00003599990|ENSE00003599990|ENSE00003590744|ENSE00003590744|*ENSE00002685382|*ENSE00002685382	ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382|*ENSG00000076382|*ENSG00000076382	SPAG5|RP11-192H23.4|SPAG5|RP11-192H23.4|*SPAG5|*RP11-192H23.4
TC17001298_SPAG5_RP11-192H23.4	PSR17017166	ENSE00003709268|ENSE00003709268|Intron|Intron	ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382	SPAG5|RP11-192H23.4|SPAG5|RP11-192H23.4
TC17001298_SPAG5_RP11-192H23.4	PSR17017167	ENSE00003703065|ENSE00003703065	ENSG00000076382|ENSG00000076382	SPAG5|RP11-192H23.4
TC17001298_SPAG5_RP11-192H23.4	PSR17017168	ENSE00003709397|ENSE00003709397	ENSG00000076382|ENSG00000076382	SPAG5|RP11-192H23.4
TC17001298_SPAG5_RP11-192H23.4	PSR17017169	Intron|Intron|Intron|Intron|ENSE00000866316|ENSE00000866316	ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382	SPAG5|RP11-192H23.4|SPAG5|RP11-192H23.4|SPAG5|RP11-192H23.4
TC17001298_SPAG5_RP11-192H23.4	PSR17017170	ENSE00003709381|ENSE00003709381	ENSG00000076382|ENSG00000076382	SPAG5|RP11-192H23.4
TC17001298_SPAG5_RP11-192H23.4	PSR17017171	ENSE00003704580|ENSE00003704580	ENSG00000076382|ENSG00000076382	SPAG5|RP11-192H23.4
TC17001298_SPAG5_RP11-192H23.4	PSR17017172	ENSE00003702881|ENSE00003702881	ENSG00000076382|ENSG00000076382	SPAG5|RP11-192H23.4
TC17001298_SPAG5_RP11-192H23.4	PSR17017173	ENSE00003515255|ENSE00003515255|ENSE00003491774|ENSE00003491774|*ENSE00002714618|*ENSE00002714618	ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382|*ENSG00000076382|*ENSG00000076382	SPAG5|RP11-192H23.4|SPAG5|RP11-192H23.4|*SPAG5|*RP11-192H23.4
TC17001298_SPAG5_RP11-192H23.4	PSR17017174	ENSE00002427960|ENSE00002427960|*ENSE00002361294|*ENSE00002361294|*ENSE00002711860|*ENSE00002711860|*ENSE00002724314|*ENSE00002724314	ENSG00000076382|ENSG00000076382|*ENSG00000076382|*ENSG00000076382|*ENSG00000076382|*ENSG00000076382|*ENSG00000076382|*ENSG00000076382	SPAG5|RP11-192H23.4|*SPAG5|*RP11-192H23.4|*SPAG5|*RP11-192H23.4|*SPAG5|*RP11-192H23.4
TC17001298_SPAG5_RP11-192H23.4	PSR17017175	ENSE00002428997|ENSE00002428997|ENSE00002342450|ENSE00002342450	ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382	SPAG5|RP11-192H23.4|SPAG5|RP11-192H23.4
TC17001298_SPAG5_RP11-192H23.4	PSR17017176	ENSE00002695619|ENSE00002695619|ENSE00001671047|ENSE00001671047|ENSE00002251263|ENSE00002251263	ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382|ENSG00000076382	SPAG5|RP11-192H23.4|SPAG5|RP11-192H23.4|SPAG5|RP11-192H23.4
TC17001298_SPAG5_RP11-192H23.4	PSR17017179	ENSE00001671047|ENSE00001671047	ENSG00000076382|ENSG00000076382	SPAG5|RP11-192H23.4
