TCID_GeneID	Probeset	AnnotationExon	AnnotationG_a	AnnotationG_b
TC1500264_CAPN3	PSR150001592	ENSE00001491540|ENSE00002610367|Intron|Intron|Intron|Intron|ENSE00003733074|*ENSE00002620742	ENSG00000092529|ENSG00000092529|ENSG00000092529|ENSG00000092529|ENSG00000092529|ENSG00000092529|ENSG00000092529|*ENSG00000092529	CAPN3|CAPN3|CAPN3|CAPN3|CAPN3|CAPN3|CAPN3|*CAPN3
TC1500264_CAPN3	PSR150001593	ENSE00001491540|ENSE00002610367|Intron|Intron|ENSE00002629768|ENSE00002578780|ENSE00002620742|Intron|Intron|ENSE00003733074|*ENSE00002624863	ENSG00000092529|ENSG00000092529|ENSG00000092529|ENSG00000092529|ENSG00000092529|ENSG00000092529|ENSG00000092529|ENSG00000092529|ENSG00000092529|ENSG00000092529|*ENSG00000092529	CAPN3|CAPN3|CAPN3|CAPN3|CAPN3|CAPN3|CAPN3|CAPN3|CAPN3|CAPN3|*CAPN3
TC1500264_CAPN3	PSR150001594	Intron|ENSE00002597709|Intron|ENSE00002607231|Intron|ENSE00003687541|Intron|ENSE00003508801	ENSG00000092529|ENSG00000092529|ENSG00000092529|ENSG00000092529|ENSG00000092529|ENSG00000092529|ENSG00000092529|ENSG00000092529	CAPN3|CAPN3|CAPN3|CAPN3|CAPN3|CAPN3|CAPN3|CAPN3
TC1500264_CAPN3	PSR150001595	ENSE00003515870|ENSE00002617963|ENSE00002585726|ENSE00003748186|ENSE00003460877	ENSG00000092529|ENSG00000092529|ENSG00000092529|ENSG00000092529|ENSG00000092529	CAPN3|CAPN3|CAPN3|CAPN3|CAPN3
TC1500264_CAPN3	PSR150001596	ENSE00003464508|ENSE00003515072|ENSE00003543098	ENSG00000092529|ENSG00000092529|ENSG00000092529	CAPN3|CAPN3|CAPN3
TC1500264_CAPN3	PSR150001597	ENSE00003507856|ENSE00003594271|*ENSE00002590677	ENSG00000092529|ENSG00000092529|*ENSG00000092529	CAPN3|CAPN3|*CAPN3
TC1500264_CAPN3	PSR150001598	ENSE00002628367|ENSE00003459699|ENSE00003606999|ENSE00002578645	ENSG00000092529|ENSG00000092529|ENSG00000092529|ENSG00000092529	CAPN3|CAPN3|CAPN3|CAPN3
TC1500264_CAPN3	PSR150001599	ENSE00003522315|ENSE00003621925|*Intron|*Intron	ENSG00000092529|ENSG00000092529|*ENSG00000092529|*ENSG00000092529	CAPN3|CAPN3|*CAPN3|*CAPN3
TC1500264_CAPN3	PSR150001600	ENSE00002614401|ENSE00003585448|ENSE00003656165	ENSG00000092529|ENSG00000092529|ENSG00000092529	CAPN3|CAPN3|CAPN3
TC1500264_CAPN3	PSR150001601	ENSE00003560501|ENSE00003677949|*ENSE00002611865	ENSG00000092529|ENSG00000092529|*ENSG00000092529	CAPN3|CAPN3|*CAPN3
TC1500264_CAPN3	PSR150001602	ENSE00003589768|Intron|ENSE00002607388|ENSE00001491603|ENSE00002627333|ENSE00002606785|*ENSE00002619408|*ENSE00002585930|*ENSE00002584886|*ENSE00003792271	ENSG00000092529|ENSG00000092529|ENSG00000092529|ENSG00000092529|ENSG00000092529|ENSG00000092529|*ENSG00000092529|*ENSG00000092529|*ENSG00000092529|*ENSG00000092529	CAPN3|CAPN3|CAPN3|CAPN3|CAPN3|CAPN3|*CAPN3|*CAPN3|*CAPN3|*CAPN3
TC1500264_CAPN3	PSR150001603	ENSE00003589768|Intron|Intron|ENSE00001491603|ENSE00002627333|ENSE00002606785|*ENSE00002609065|*Intron	ENSG00000092529|ENSG00000092529|ENSG00000092529|ENSG00000092529|ENSG00000092529|ENSG00000092529|*ENSG00000092529|*ENSG00000092529	CAPN3|CAPN3|CAPN3|CAPN3|CAPN3|CAPN3|*CAPN3|*CAPN3
TC1500264_CAPN3	PSR150001604	ENSE00003589768|ENSE00002599592|ENSE00002622591|ENSE00001491603|ENSE00002627333|ENSE00002606785|*ENSE00002609065	ENSG00000092529|ENSG00000092529|ENSG00000092529|ENSG00000092529|ENSG00000092529|ENSG00000092529|*ENSG00000092529	CAPN3|CAPN3|CAPN3|CAPN3|CAPN3|CAPN3|*CAPN3
TC1500264_CAPN3	JUC1500017640	*ENSE00003476707//*ENSE00003800434	*ENSG00000092529//*ENSG00000092529	*CAPN3//*CAPN3
TC1500264_CAPN3	JUC1500017643	ENSE00003522315|ENSE00003656165//ENSE00003621925|ENSE00003585448//ENSE00003522315|ENSE00002578187//ENSE00003633777|ENSE00003585448//ENSE00003522657|ENSE00003656165//ENSE00003621925|ENSE00002614401//*ENSE00003656165	ENSG00000092529|ENSG00000092529//ENSG00000092529|ENSG00000092529//ENSG00000092529|ENSG00000092529//ENSG00000092529|ENSG00000092529//ENSG00000092529|ENSG00000092529//ENSG00000092529|ENSG00000092529//*ENSG00000092529	CAPN3|CAPN3//CAPN3|CAPN3//CAPN3|CAPN3//CAPN3|CAPN3//CAPN3|CAPN3//CAPN3|CAPN3//*CAPN3
TC1500264_CAPN3	JUC1500017691	ENSE00003573344|ENSE00003617374//ENSE00003793180|ENSE00003791946	ENSG00000092529|ENSG00000092529//ENSG00000092529|ENSG00000092529	CAPN3|CAPN3//CAPN3|CAPN3
TC1500264_CAPN3	JUC1500017728	ENSE00002578780|ENSE00002597709//*ENSE00003687541//*ENSE00001491540//*ENSE00002610367//*ENSE00003508801//*ENSE00002620742//*ENSE00002629768//*ENSE00002624863//*ENSE00002607231//*ENSE00003733074	ENSG00000092529|ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529	CAPN3|CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3
TC1500264_CAPN3	JUC1500017731	ENSE00003483545|ENSE00003511177//*ENSE00003483545//*ENSE00003798376	ENSG00000092529|ENSG00000092529//*ENSG00000092529//*ENSG00000092529	CAPN3|CAPN3//*CAPN3//*CAPN3
TC1500264_CAPN3	JUC1500017838	*ENSE00003460877//*ENSE00003515870//*ENSE00002585726//*ENSE00002617963//*ENSE00003748186	*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529	*CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3
TC1500264_CAPN3	JUC1500017847	ENSE00003760241|ENSE00003483545//ENSE00003801039|ENSE00003798376//ENSE00002623062|ENSE00003483545	ENSG00000092529|ENSG00000092529//ENSG00000092529|ENSG00000092529//ENSG00000092529|ENSG00000092529	CAPN3|CAPN3//CAPN3|CAPN3//CAPN3|CAPN3
TC1500264_CAPN3	JUC1500017882	*ENSE00003687541//*ENSE00003508801//*ENSE00002597709//*ENSE00002607231	*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529	*CAPN3//*CAPN3//*CAPN3//*CAPN3
TC1500264_CAPN3	JUC1500017889	ENSE00003688077|ENSE00003464872//ENSE00003798488|ENSE00003796792	ENSG00000092529|ENSG00000092529//ENSG00000092529|ENSG00000092529	CAPN3|CAPN3//CAPN3|CAPN3
TC1500264_CAPN3	JUC1500018164	*ENSE00003760241//*ENSE00003801039	*ENSG00000092529//*ENSG00000092529	*CAPN3//*CAPN3
TC1500264_CAPN3	JUC1500018241	ENSE00003515072|ENSE00003507856//ENSE00003464508|ENSE00003594271//ENSE00003515072|ENSE00002590677//ENSE00003543098|ENSE00003507856	ENSG00000092529|ENSG00000092529//ENSG00000092529|ENSG00000092529//ENSG00000092529|ENSG00000092529//ENSG00000092529|ENSG00000092529	CAPN3|CAPN3//CAPN3|CAPN3//CAPN3|CAPN3//CAPN3|CAPN3
TC1500264_CAPN3	JUC1500018314	ENSE00003476707|ENSE00003563229//ENSE00003800434|ENSE00003791787	ENSG00000092529|ENSG00000092529//ENSG00000092529|ENSG00000092529	CAPN3|CAPN3//CAPN3|CAPN3
TC1500264_CAPN3	JUC1500018330	ENSE00003687541|ENSE00003460877//*ENSE00003460877//*ENSE00003515870//*ENSE00003687541//*ENSE00002585726//*ENSE00003508801//*ENSE00002597709//*ENSE00002607231//*ENSE00002617963//*ENSE00003748186	ENSG00000092529|ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529	CAPN3|CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3
TC1500264_CAPN3	JUC1500018423	*ENSE00003483545//*ENSE00003798376	*ENSG00000092529//*ENSG00000092529	*CAPN3//*CAPN3
TC1500264_CAPN3	JUC1500018430	*ENSE00003511177//*ENSE00001491540//*ENSE00002610367//*ENSE00003600617//*ENSE00002620742//*ENSE00002578780//*ENSE00002629768//*ENSE00002624863//*ENSE00003733074	*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529	*CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3
TC1500264_CAPN3	JUC1500018469	ENSE00003483545|ENSE00003460877//ENSE00003798376|ENSE00003515870//*ENSE00003483545//*ENSE00003460877//*ENSE00002585726//*ENSE00003515870//*ENSE00002617963//*ENSE00003748186	ENSG00000092529|ENSG00000092529//ENSG00000092529|ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529	CAPN3|CAPN3//CAPN3|CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3
TC1500264_CAPN3	JUC1500018483	ENSE00003656165|ENSE00003560501//ENSE00003585448|ENSE00003677949//ENSE00003656165|ENSE00002611865//*ENSE00002614401	ENSG00000092529|ENSG00000092529//ENSG00000092529|ENSG00000092529//ENSG00000092529|ENSG00000092529//*ENSG00000092529	CAPN3|CAPN3//CAPN3|CAPN3//CAPN3|CAPN3//*CAPN3
TC1500264_CAPN3	JUC1500018506	ENSE00001933492|ENSE00003476707//ENSE00002204882|ENSE00003476707//ENSE00003743813|ENSE00003476707//*ENSE00003800434	ENSG00000092529|ENSG00000092529//ENSG00000092529|ENSG00000092529//ENSG00000092529|ENSG00000092529//*ENSG00000092529	CAPN3|CAPN3//CAPN3|CAPN3//CAPN3|CAPN3//*CAPN3
TC1500264_CAPN3	JUC1500018519	*ENSE00003460877//*ENSE00003511177//*ENSE00003515870//*ENSE00002585726//*ENSE00003600617//*ENSE00002617963//*ENSE00003748186	*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529	*CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3
TC1500264_CAPN3	JUC1500018535	ENSE00003560501|ENSE00002599592//*ENSE00003560501//*ENSE00003589768//*ENSE00002606785//*ENSE00003677949//*ENSE00001491603//*ENSE00002627333//*ENSE00002622591//*ENSE00002609065	ENSG00000092529|ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529	CAPN3|CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3
TC1500264_CAPN3	JUC1500018848	*ENSE00003508111//*ENSE00003793450	*ENSG00000092529//*ENSG00000092529	*CAPN3//*CAPN3
TC1500264_CAPN3	JUC1500018855	ENSE00002607388|ENSE00002622591//*ENSE00003589768//*ENSE00002606785//*ENSE00001491603//*ENSE00002599592//*ENSE00002627333//*ENSE00002607388//*ENSE00002609065	ENSG00000092529|ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529	CAPN3|CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3
TC1500264_CAPN3	JUC1500018908	ENSE00003460877|ENSE00003515072//ENSE00003515870|ENSE00003464508//ENSE00002585726|ENSE00003515072//ENSE00002617963|ENSE00003464508//*ENSE00003515870//*ENSE00003543098//*ENSE00003464508//*ENSE00003748186	ENSG00000092529|ENSG00000092529//ENSG00000092529|ENSG00000092529//ENSG00000092529|ENSG00000092529//ENSG00000092529|ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529	CAPN3|CAPN3//CAPN3|CAPN3//CAPN3|CAPN3//CAPN3|CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3
TC1500264_CAPN3	JUC1500018937	ENSE00003483545|ENSE00003687541//*ENSE00003483545//*ENSE00003687541//*ENSE00003798376//*ENSE00003508801//*ENSE00002597709//*ENSE00002607231	ENSG00000092529|ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529	CAPN3|CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3
TC1500264_CAPN3	JUC1500018959	ENSE00003617374|ENSE00003688077//ENSE00003791946|ENSE00003798488//*ENSE00003617374//*ENSE00003688077	ENSG00000092529|ENSG00000092529//ENSG00000092529|ENSG00000092529//*ENSG00000092529//*ENSG00000092529	CAPN3|CAPN3//CAPN3|CAPN3//*CAPN3//*CAPN3
TC1500264_CAPN3	JUC1500018992	ENSE00003487304|ENSE00003688077//*ENSE00003688077//*ENSE00003798488	ENSG00000092529|ENSG00000092529//*ENSG00000092529//*ENSG00000092529	CAPN3|CAPN3//*CAPN3//*CAPN3
TC1500264_CAPN3	JUC1500018994	ENSE00003511177|ENSE00003687541//*ENSE00003687541//*ENSE00003600617//*ENSE00003508801//*ENSE00002597709//*ENSE00002607231	ENSG00000092529|ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529	CAPN3|CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3
TC1500264_CAPN3	JUC1500019013	ENSE00003560501|ENSE00003654307//ENSE00003560501|ENSE00003589768//ENSE00003560501|ENSE00002606785//ENSE00003677949|ENSE00003792271//ENSE00003560501|ENSE00001491603//ENSE00003560501|ENSE00002585930//ENSE00003677949|ENSE00002619408//ENSE00003560501|ENSE00002584886//ENSE00003677949|ENSE00002627333//ENSE00003560501|ENSE00002607388//*ENSE00003560501	ENSG00000092529|ENSG00000092529//ENSG00000092529|ENSG00000092529//ENSG00000092529|ENSG00000092529//ENSG00000092529|ENSG00000092529//ENSG00000092529|ENSG00000092529//ENSG00000092529|ENSG00000092529//ENSG00000092529|ENSG00000092529//ENSG00000092529|ENSG00000092529//ENSG00000092529|ENSG00000092529//ENSG00000092529|ENSG00000092529//*ENSG00000092529	CAPN3|CAPN3//CAPN3|CAPN3//CAPN3|CAPN3//CAPN3|CAPN3//CAPN3|CAPN3//CAPN3|CAPN3//CAPN3|CAPN3//CAPN3|CAPN3//CAPN3|CAPN3//CAPN3|CAPN3//*CAPN3
TC1500264_CAPN3	JUC1500019059	ENSE00003464872|ENSE00003600997//ENSE00003796792|ENSE00003800448	ENSG00000092529|ENSG00000092529//ENSG00000092529|ENSG00000092529	CAPN3|CAPN3//CAPN3|CAPN3
TC1500264_CAPN3	JUC1500019064	*ENSE00001491540//*ENSE00002610367//*ENSE00002620742//*ENSE00002578780//*ENSE00002629768//*ENSE00002624863//*ENSE00002617963//*ENSE00003733074	*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529	*CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3
TC1500264_CAPN3	JUC1500019067	*ENSE00003563229//*ENSE00003791787	*ENSG00000092529//*ENSG00000092529	*CAPN3//*CAPN3
TC1500264_CAPN3	JUC1500019087	ENSE00003617374|ENSE00003487304//*ENSE00003617374//*ENSE00003791946	ENSG00000092529|ENSG00000092529//*ENSG00000092529//*ENSG00000092529	CAPN3|CAPN3//*CAPN3//*CAPN3
TC1500264_CAPN3	JUC1500019129	*ENSE00003460877//*ENSE00003515870//*ENSE00002585726//*ENSE00001491540//*ENSE00002610367//*ENSE00002620742//*ENSE00002578780//*ENSE00002629768//*ENSE00002624863//*ENSE00002617963//*ENSE00003733074//*ENSE00003748186	*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529	*CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3
TC1500264_CAPN3	JUC1500019297	ENSE00003543631|ENSE00003508111//ENSE00003795651|ENSE00003793450	ENSG00000092529|ENSG00000092529//ENSG00000092529|ENSG00000092529	CAPN3|CAPN3//CAPN3|CAPN3
TC1500264_CAPN3	JUC1500019307	*ENSE00003760241//*ENSE00003801039//*ENSE00001527687//*ENSE00002594528	*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529	*CAPN3//*CAPN3//*CAPN3//*CAPN3
TC1500264_CAPN3	JUC1500019314	ENSE00003600997|ENSE00003543631//ENSE00003800448|ENSE00003795651	ENSG00000092529|ENSG00000092529//ENSG00000092529|ENSG00000092529	CAPN3|CAPN3//CAPN3|CAPN3
TC1500264_CAPN3	JUC1500019321	ENSE00003563229|ENSE00003573344//ENSE00003791787|ENSE00003793180	ENSG00000092529|ENSG00000092529//ENSG00000092529|ENSG00000092529	CAPN3|CAPN3//CAPN3|CAPN3
TC1500264_CAPN3	JUC1500019337	ENSE00002578645|ENSE00003633777//ENSE00003606999|ENSE00003522657//*ENSE00003606999//*ENSE00003522315//*ENSE00003459699//*ENSE00003621925//*ENSE00002628367	ENSG00000092529|ENSG00000092529//ENSG00000092529|ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529	CAPN3|CAPN3//CAPN3|CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3//*CAPN3
TC1500264_CAPN3	JUC1500019371	ENSE00003507856|ENSE00003606999//ENSE00003594271|ENSE00003459699//*ENSE00003507856//*ENSE00002578645//*ENSE00003594271	ENSG00000092529|ENSG00000092529//ENSG00000092529|ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529	CAPN3|CAPN3//CAPN3|CAPN3//*CAPN3//*CAPN3//*CAPN3
TC1500264_CAPN3	JUC1500019398	ENSE00003606999|ENSE00003522315//ENSE00003459699|ENSE00003621925//ENSE00002628367|ENSE00003621925//*ENSE00002578645//*ENSE00003606999//*ENSE00003522315	ENSG00000092529|ENSG00000092529//ENSG00000092529|ENSG00000092529//ENSG00000092529|ENSG00000092529//*ENSG00000092529//*ENSG00000092529//*ENSG00000092529	CAPN3|CAPN3//CAPN3|CAPN3//CAPN3|CAPN3//*CAPN3//*CAPN3//*CAPN3
TC1500264_GANC	PSR150001546	ENSE00002608724|*ENSE00002578279|*ENSE00002613445|*Intron	ENSG00000214013|*ENSG00000214013|*ENSG00000214013|*ENSG00000214013	GANC|*GANC|*GANC|*GANC
TC1500264_GANC	PSR150001547	ENSE00003800138|*ENSE00002622205|*ENSE00001934013|*ENSE00002588307	ENSG00000214013|*ENSG00000214013|*ENSG00000214013|*ENSG00000214013	GANC|*GANC|*GANC|*GANC
TC1500264_GANC	PSR150001548	ENSE00002627824|ENSE00001204856|ENSE00002629856	ENSG00000214013|ENSG00000214013|ENSG00000214013	GANC|GANC|GANC
TC1500264_GANC	PSR150001549	ENSE00003535383|ENSE00003562185|ENSE00002591491	ENSG00000214013|ENSG00000214013|ENSG00000214013	GANC|GANC|GANC
TC1500264_GANC	PSR150001550	Intron|Intron|Intron|ENSE00001771657|*ENSE00002603234	ENSG00000214013|ENSG00000214013|ENSG00000214013|ENSG00000214013|*ENSG00000214013	GANC|GANC|GANC|GANC|*GANC
TC1500264_GANC	PSR150001551	Intron|Intron|Intron|*ENSE00002624495|*ENSE00001709596	ENSG00000214013|ENSG00000214013|ENSG00000214013|*ENSG00000214013|*ENSG00000214013	GANC|GANC|GANC|*GANC|*GANC
TC1500264_GANC	PSR150001552	ENSE00003586961|ENSE00003585495	ENSG00000214013|ENSG00000214013	GANC|GANC
TC1500264_GANC	PSR150001553	ENSE00003510695|ENSE00003528412|*ENSE00002620184	ENSG00000214013|ENSG00000214013|*ENSG00000214013	GANC|GANC|*GANC
TC1500264_GANC	PSR150001554	ENSE00003532906|ENSE00003509354	ENSG00000214013|ENSG00000214013	GANC|GANC
TC1500264_GANC	PSR150001555	ENSE00003617343|ENSE00003580908	ENSG00000214013|ENSG00000214013	GANC|GANC
TC1500264_GANC	PSR150001556	ENSE00003575615|ENSE00003590587	ENSG00000214013|ENSG00000214013	GANC|GANC
TC1500264_GANC	PSR150001557	ENSE00003543736|ENSE00003598003	ENSG00000214013|ENSG00000214013	GANC|GANC
TC1500264_GANC	PSR150001558	ENSE00003461514|ENSE00003577541	ENSG00000214013|ENSG00000214013	GANC|GANC
TC1500264_GANC	PSR150001559	ENSE00003625569|ENSE00003497049	ENSG00000214013|ENSG00000214013	GANC|GANC
TC1500264_GANC	PSR150001560	ENSE00003462815|ENSE00002628661|ENSE00003543239	ENSG00000214013|ENSG00000214013|ENSG00000214013	GANC|GANC|GANC
TC1500264_GANC	PSR150001561	ENSE00003581530|ENSE00002622811|ENSE00003558370	ENSG00000214013|ENSG00000214013|ENSG00000214013	GANC|GANC|GANC
TC1500264_GANC	PSR150001562	ENSE00001149171|ENSE00002621004	ENSG00000214013|ENSG00000214013	GANC|GANC
TC1500264_GANC	PSR150001563	ENSE00001204816	ENSG00000214013	GANC
TC1500264_GANC	PSR150001564	ENSE00001204813	ENSG00000214013	GANC
TC1500264_GANC	PSR150001565	ENSE00001149091	ENSG00000214013	GANC
TC1500264_GANC	PSR150001566	ENSE00000942543	ENSG00000214013	GANC
TC1500264_GANC	PSR150001567	ENSE00001107564	ENSG00000214013	GANC
TC1500264_GANC	PSR150001568	ENSE00003471892|ENSE00003626715	ENSG00000214013|ENSG00000214013	GANC|GANC
TC1500264_GANC	PSR150001569	ENSE00003651891|ENSE00003575521	ENSG00000214013|ENSG00000214013	GANC|GANC
TC1500264_GANC	PSR150001570	ENSE00003632054|ENSE00003546543	ENSG00000214013|ENSG00000214013	GANC|GANC
TC1500264_GANC	PSR150001571	ENSE00003661079|ENSE00003623224	ENSG00000214013|ENSG00000214013	GANC|GANC
TC1500264_GANC	PSR150001572	ENSE00001427845|*ENSE00002394004|*ENSE00002578023	ENSG00000214013|*ENSG00000214013|*ENSG00000214013	GANC|*GANC|*GANC
TC1500264_GANC	PSR150001573	ENSE00001427845	ENSG00000214013	GANC
TC1500264_GANC	PSR150001574	ENSE00001427845	ENSG00000214013	GANC
TC1500264_GANC	JUC1500017633	ENSE00003562185|ENSE00003586961//ENSE00003535383|ENSE00002605582//ENSE00003535383|ENSE00003585495//*ENSE00002591491//*ENSE00003562185//*ENSE00003535383	ENSG00000214013|ENSG00000214013//ENSG00000214013|ENSG00000214013//ENSG00000214013|ENSG00000214013//*ENSG00000214013//*ENSG00000214013//*ENSG00000214013	GANC|GANC//GANC|GANC//GANC|GANC//*GANC//*GANC//*GANC
TC1500264_GANC	JUC1500017680	ENSE00003461514|ENSE00003497049//ENSE00003577541|ENSE00003625569//*ENSE00003461514	ENSG00000214013|ENSG00000214013//ENSG00000214013|ENSG00000214013//*ENSG00000214013	GANC|GANC//GANC|GANC//*GANC
TC1500264_GANC	JUC1500017710	ENSE00003462815|ENSE00003558370//ENSE00003543239|ENSE00002622811//ENSE00002628661|ENSE00003581530	ENSG00000214013|ENSG00000214013//ENSG00000214013|ENSG00000214013//ENSG00000214013|ENSG00000214013	GANC|GANC//GANC|GANC//GANC|GANC
TC1500264_GANC	JUC1500017762	ENSE00001149091|ENSE00000942543	ENSG00000214013|ENSG00000214013	GANC|GANC
TC1500264_GANC	JUC1500017779	ENSE00003558370|ENSE00001149171//ENSE00003581530|ENSE00002621004//*ENSE00002622811	ENSG00000214013|ENSG00000214013//ENSG00000214013|ENSG00000214013//*ENSG00000214013	GANC|GANC//GANC|GANC//*GANC
TC1500264_GANC	JUC1500017791	ENSE00003575615|ENSE00003543736//ENSE00003590587|ENSE00003598003	ENSG00000214013|ENSG00000214013//ENSG00000214013|ENSG00000214013	GANC|GANC//GANC|GANC
TC1500264_GANC	JUC1500017803	ENSE00003471892|ENSE00003575521//ENSE00003626715|ENSE00003651891	ENSG00000214013|ENSG00000214013//ENSG00000214013|ENSG00000214013	GANC|GANC//GANC|GANC
TC1500264_GANC	JUC1500017953	*ENSE00001427845	*ENSG00000214013	*GANC
